Ticker,Sektor,Subsektor,Industri,Subindustri,Period,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
AADI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q1,"2,411 B","3,206 B","4,336 B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AADI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q2,-,"3,841 B","9,421 B","10,538 B",-,-,-,-,-,-,-,-,-,-,-,-,-,-
AADI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q3,-,"2,597 B","3,410 B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AADI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q4,-,"2,881 B","2,150 B","6,797 B","32,151 B","10,442 B",-,-,-,-,-,-,-,-,-,-,-,-
AADI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Annualised,"9,645 B","12,526 B","19,191 B","17,448 B","30,715 B","10,475 B",-,-,-,-,-,-,-,-,-,-,-,-
AADI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,TTM (Q1),"11,737 B","12,526 B","19,191 B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AADI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Div (TTM),538.08,538.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AADI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Payout Ratio,43.44%,33.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AADI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Div Yield,5.98%,6.15%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AALI,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Q1,373 B,277 B,231 B,225 B,483 B,162 B,371 B,37 B,355 B,801 B,-,-,-,-,-,-,-,-
AALI,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Q2,-,425 B,271 B,143 B,326 B,487 B,21 B,6 B,428 B,243 B,-,-,-,-,-,-,-,-
AALI,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Q3,-,368 B,300 B,433 B,407 B,820 B,191 B,67 B,340 B,362 B,-,-,-,-,-,-,-,-
AALI,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Q4,-,402 B,346 B,255 B,511 B,502 B,251 B,100 B,315 B,604 B,-,-,-,-,-,-,-,-
