bkpm_sector,Year,NetIncome
ENERGI,2016,-3496845000000.0
ENERGI,2017,2109858000000.0
ENERGI,2018,7510000000000.0
ENERGI,2019,7518000000000.0
ENERGI,2020,1984395000000.0
ENERGI,2021,9081715000000.0
ENERGI,2022,15992834000000.0
ENERGI,2023,19964500000000.0
ENERGI,2024,19461026000000.0
ENERGI,2025,22543058000000.0
ENERGI,2026,22108723000000.0
KEUANGAN,2011,3000000000.0
KEUANGAN,2012,7000000000.0
KEUANGAN,2013,10000000000.0
KEUANGAN,2014,21000000000.0
KEUANGAN,2015,-2000000000.0
KEUANGAN,2016,8948000000000.0
KEUANGAN,2017,121774708000000.0
KEUANGAN,2018,130424197000000.0
KEUANGAN,2019,155137099000000.0
KEUANGAN,2020,101485128000000.0
KEUANGAN,2021,159485703000000.0
KEUANGAN,2022,203907808000000.0
KEUANGAN,2023,220706504000000.0
KEUANGAN,2024,243111204000000.0
KEUANGAN,2025,260353000000000.0
KEUANGAN,2026,270188994000000.0
KONSTRUKSI,2010,-3000000000.0
KONSTRUKSI,2011,20000000000.0
KONSTRUKSI,2012,59000000000.0
KONSTRUKSI,2013,57000000000.0
KONSTRUKSI,2014,198000000000.0
KONSTRUKSI,2015,-108654000000.0
KONSTRUKSI,2016,3021000000000.0
KONSTRUKSI,2017,41625762000000.0
KONSTRUKSI,2018,45020254000000.0
KONSTRUKSI,2019,38061280000000.0
KONSTRUKSI,2020,-13739338000000.0
KONSTRUKSI,2021,23416239000000.0
KONSTRUKSI,2022,42163970000000.0
KONSTRUKSI,2023,34485574000000.0
KONSTRUKSI,2024,54206095000000.0
KONSTRUKSI,2025,4725103000000.0
KONSTRUKSI,2026,16140052000000.0
PARIWISATA,2011,814000000.0
PARIWISATA,2012,-9000000000.0
PARIWISATA,2013,2000000000.0
PARIWISATA,2014,698000000.0
PARIWISATA,2015,496000000.0
PARIWISATA,2016,76260000000.0
PARIWISATA,2017,2400225000000.0
PARIWISATA,2018,2058433000000.0
PARIWISATA,2019,1118112000000.0
PARIWISATA,2020,-3010852000000.0
PARIWISATA,2021,-1327958000000.0
PARIWISATA,2022,607858000000.0
PARIWISATA,2023,1991244000000.0
PARIWISATA,2024,1560463000000.0
