province,bkpm_sector,idx_netincome_latest,idx_netincome_year,Peluang,PDRB_2024,Realisasi_Investasi,Kawasan_Industri
Aceh,PERTANIAN,34532000000000.0,2025,3 Proyek,Rp 113.484.220.000.000,"PMA (US$ Ribu) : 1.398.089,13 | PMDN (Rp Juta) : 58.585.390,7",2 Kawasan
Aceh,PENGANGKUTAN,3183856000000.0,2025,3 Proyek,Rp 113.484.220.000.000,"PMA (US$ Ribu) : 1.398.089,13 | PMDN (Rp Juta) : 58.585.390,7",2 Kawasan
Aceh,KONSTRUKSI,4725103000000.0,2025,3 Proyek,Rp 113.484.220.000.000,"PMA (US$ Ribu) : 1.398.089,13 | PMDN (Rp Juta) : 58.585.390,7",2 Kawasan
Aceh,PERIKANAN,10266634000000.0,2025,3 Proyek,Rp 113.484.220.000.000,"PMA (US$ Ribu) : 1.398.089,13 | PMDN (Rp Juta) : 58.585.390,7",2 Kawasan
Aceh,PERDAGANGAN,17749000000000.0,2025,3 Proyek,Rp 113.484.220.000.000,"PMA (US$ Ribu) : 1.398.089,13 | PMDN (Rp Juta) : 58.585.390,7",2 Kawasan
Aceh,PARIWISATA,2361177000000.0,2025,3 Proyek,Rp 113.484.220.000.000,"PMA (US$ Ribu) : 1.398.089,13 | PMDN (Rp Juta) : 58.585.390,7",2 Kawasan
Papua,PERIKANAN,10266634000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 14.220.140,3 | PMDN (Rp Juta) : 11.368.335,8",0 Kawasan
Papua,PERTAMBANGAN,93828770000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 14.220.140,3 | PMDN (Rp Juta) : 11.368.335,8",0 Kawasan
Papua,KONSTRUKSI,4725103000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 14.220.140,3 | PMDN (Rp Juta) : 11.368.335,8",0 Kawasan
Kalimantan Tengah,PARIWISATA,2361177000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.775.155,1 | PMDN (Rp Juta) : 78.011.055,7",1 Kawasan
Kalimantan Tengah,PERTAMBANGAN,93828770000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.775.155,1 | PMDN (Rp Juta) : 78.011.055,7",1 Kawasan
Kalimantan Tengah,PERTANIAN,34532000000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.775.155,1 | PMDN (Rp Juta) : 78.011.055,7",1 Kawasan
Kalimantan Tengah,PERIKANAN,10266634000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.775.155,1 | PMDN (Rp Juta) : 78.011.055,7",1 Kawasan
Papua Selatan,PERIKANAN,10266634000000.0,2025,0 Proyek,Rp 14.022.040.000.000,"PMA (US$ Ribu) : 176.621,5 | PMDN (Rp Juta) : 852.176,2",0 Kawasan
Sumatera Utara,KONSTRUKSI,4725103000000.0,2025,10 Proyek,,"PMA (US$ Ribu) : 13.240.790,5 | PMDN (Rp Juta) : 164.217.439,3",3 Kawasan
