Company Code,Company Name,No,Subsidiary Name,Business Activity,Location,Commercial Year,Operating Status,Total Assets,Unit,Currency,Ownership Percentage
TAPG,PT Triputra Agro Persada Tbk.,1,PT Agro Multi Persada (AMP),Perusahaan induk,Jakarta Selatan,2005,Beroperasi,9.316.917,JUTAAN,IDR,94.93
PALM,PT Provident Investasi Bersama Tbk,1,PT Sarana Investasi Nusantara (SIN),Perusahaan Holding,DKI Jakarta,0,Tidak Beroperasiona l,175.123,RIBUAN,IDR,99.65
PALM,PT Provident Investasi Bersama Tbk,2,PT Suwarna Arta Mandiri (SAM) (Melalui AP),Perusahaan Holding,DKI Jakarta,2018,Beroperasiona l,6.129.027.974,RIBUAN,IDR,0.01
PALM,PT Provident Investasi Bersama Tbk,3,PT Sarana Investasi Nusantara (SIN) (Melalui SAM),Perusahaan Holding,DKI Jakarta,0,Tidak Beroperasiona l,175.123,RIBUAN,IDR,0.35
PALM,PT Provident Investasi Bersama Tbk,4,PT Alam Permai (AP),Perusahaan Holding,DKI Jakarta,2023,Beroperasiona l,4.305.318.063,RIBUAN,IDR,99.99
PALM,PT Provident Investasi Bersama Tbk,5,PT Suwarna Arta Mandiri (SAM),Perusahaan Holding,DKI Jakarta,2018,Beroperasiona l,6.129.027.974,RIBUAN,IDR,99.99
MLIA,Mulia Industrindo Tbk,1,PT Muliaglass,"Industri kaca lembaran, kaca pengaman, botol kemasan dan glass block",Cikarang,1993,Operasi,7.092.700.519,RIBUAN,IDR,99.99
PANR,Panorama Sentrawisata Tbk,1,Panorama Destination (Thailand) Ltd,Biro perjalanan wisata,Thailand,2021,Aktif,93.343.242,RIBUAN,IDR,32.41
PANR,Panorama Sentrawisata Tbk,2,PT Panorama Ventura Indonesia,Perdagangan umum dan jasa,Jakarta,2012,Aktif,235.907.889,RIBUAN,IDR,99.99
PANR,Panorama Sentrawisata Tbk,3,PT Duta Chandra Kencana,Perdagangan umum dan jasa,Jakarta,2007,Aktif,58.313.184,RIBUAN,IDR,99.98
PANR,Panorama Sentrawisata Tbk,4,PT Andalan Selaras Abadi,Perdagangan umum dan jasa,Jakarta,0,Pra-operasi,200.648.848,RIBUAN,IDR,64.12
PANR,Panorama Sentrawisata Tbk,5,PT Panorama Aplikasi Nusantara,Perdagangan umum dan jasa,Jakarta,0,Pra-operasi,2.090.847,RIBUAN,IDR,100.0
PANR,Panorama Sentrawisata Tbk,6,PT Panorama JTB Tours Indonesia,Biro perjalanan wisata,Jakarta,1999,Aktif,737.715.535,RIBUAN,IDR,60.0
PANR,Panorama Sentrawisata Tbk,7,PT Smartravelind o Perkasa,Biro perjalanan wisata,Jakarta,2007,Aktif,63.463.989,RIBUAN,IDR,30.0
PANR,Panorama Sentrawisata Tbk,8,PT Dwi Ratna Pertiwi,Biro perjalanan wisata,Jakarta,1981,Aktif,37.182.315,RIBUAN,IDR,32.63
PANR,Panorama Sentrawisata Tbk,9,PT Misi Pelayaran Mandiri,Biro perjalanan wisata,Jakarta,2012,Aktif,49.709.785,RIBUAN,IDR,57.0
PANR,Panorama Sentrawisata Tbk,10,PT Trip Tour Travel,Biro perjalanan wisata,Jakarta,2014,Aktif,22.453.619,RIBUAN,IDR,46.82
PANR,Panorama Sentrawisata Tbk,11,PT Mitra Panorama Internasional,Perdagangan umum dan jasa,Jakarta,2017,Aktif,3.456.676,RIBUAN,IDR,60.04
PANR,Panorama Sentrawisata Tbk,12,PT Chan Brothers Travel Indonesia,Biro perjalanan wisata,Jakarta,2002,Aktif,88.904.925,RIBUAN,IDR,29.97
PANR,Panorama Sentrawisata Tbk,13,PT Andalan Wisata Benua,Biro perjalanan wisata,Jakarta,2018,Aktif,42.208.578,RIBUAN,IDR,50.95
PANR,Panorama Sentrawisata Tbk,14,PT Destinasi Tirta Nusantara Tbk,Biro perjalanan wisata,Jakarta,2000,Aktif,287.507.505,RIBUAN,IDR,66.15
PANR,Panorama Sentrawisata Tbk,15,PT Destinasi Garuda Wisata,Biro perjalanan wisata,Yogyakarta,2002,Aktif,8.163.606,RIBUAN,IDR,33.73
PANR,Panorama Sentrawisata Tbk,16,PT Graha Destinasi,Perdagangan umum dan jasa,Jakarta,0,Pra-operasi,112.275.308,RIBUAN,IDR,66.15
PANR,Panorama Sentrawisata Tbk,17,PT Panorama Destinasi Indonesia,Biro perjalanan wisata,Bali,2008,Aktif,16.148.593,RIBUAN,IDR,52.92
PANR,Panorama Sentrawisata Tbk,18,"Panorama Destination (S) Pte., Ltd.,",Biro perjalanan wisata/,Singapura,2009,Aktif,2.357.641,RIBUAN,IDR,66.15
