Company Code,Company Name,No,Bank Creditor,Currency,Current Amount,Prior Amount
GOLF,Perusahaan GOLF,1,Bank lokal lainnya,IDR,467625000000.0,451000000000.0
GOLF,Perusahaan GOLF,2,"Jumlah utang bank, kotor",467625000000.0,451000000000.0,0.0
GOLF,Perusahaan GOLF,3,Biaya penerbitan utang bank yang belum diamortisasi,5766958340.0,5951699108.0,0.0
GOLF,Perusahaan GOLF,4,"Jumlah utang bank, bersih",461858041660.0,445048300892.0,0.0
GOLF,Perusahaan GOLF,5,Liabilitas jangka panjang yang jatuh tempo dalam satu tahun atas utang bank,14958323327.0,12729701314.0,0.0
GOLF,Perusahaan GOLF,6,Liabilitas jangka panjang atas utang bank,446899718333.0,432318599578.0,0.0
DGWG,Perusahaan DGWG,1,"Jumlah utang bank, kotor",94357.0,123550.0,0.0
DGWG,Perusahaan DGWG,2,"Jumlah utang bank, bersih",94357.0,123550.0,0.0
DGWG,Perusahaan DGWG,3,Liabilitas jangka panjang yang jatuh tempo dalam satu tahun atas utang bank,22561.0,51103.0,0.0
DGWG,Perusahaan DGWG,4,Liabilitas jangka panjang atas utang bank,71796.0,72447.0,0.0
SPTO,Perusahaan SPTO,1,"Jumlah utang bank, bersih",98993356920.0,104390713840.0,0.0
SPTO,Perusahaan SPTO,2,Liabilitas jangka panjang yang jatuh tempo dalam satu tahun atas utang bank,5685856921.0,6586713840.0,0.0
SPTO,Perusahaan SPTO,3,Liabilitas jangka panjang atas utang bank,93307499999.0,97804000000.0,0.0
ARCI,Perusahaan ARCI,1,Bank Central Asia Tbk,USD,39714965.0,40000000.0
ARCI,Perusahaan ARCI,2,Bank Mandiri (Persero) Tbk,USD,280295354.0,282181109.0
ARCI,Perusahaan ARCI,3,Bank Syariah Indonesia Tbk,USD,19857482.0,20000000.0
ARCI,Perusahaan ARCI,4,Bank Negara Indonesia (Persero) Tbk,USD,29786223.0,30000000.0
ARCI,Perusahaan ARCI,5,Bank Tabungan Negara (Persero) Tbk,USD,31771972.0,32000000.0
ARCI,Perusahaan ARCI,6,Bank lokal lainnya,USD,44679334.0,45000000.0
ARCI,Perusahaan ARCI,7,"Jumlah utang bank, kotor",446105330.0,449181109.0,0.0
ARCI,Perusahaan ARCI,8,Biaya penerbitan utang bank yang belum diamortisasi,4918786.0,5141436.0,0.0
ARCI,Perusahaan ARCI,9,"Jumlah utang bank, bersih",441186544.0,444039673.0,0.0
ARCI,Perusahaan ARCI,10,Liabilitas jangka panjang yang jatuh tempo dalam satu tahun atas utang bank,12000000.0,12000000.0,0.0
ARCI,Perusahaan ARCI,11,Liabilitas jangka panjang atas utang bank,429186544.0,432039673.0,0.0
ANTM,Perusahaan ANTM,1,Pinjaman sindikasi,USD,175000000.0,175000000.0
ANTM,Perusahaan ANTM,2,"Jumlah utang bank, kotor",2973775.0,2936850.0,0.0
ANTM,Perusahaan ANTM,3,Biaya penerbitan utang bank yang belum diamortisasi,16042.0,16606.0,0.0
ANTM,Perusahaan ANTM,4,"Jumlah utang bank, bersih",2957733.0,2920244.0,0.0
ANTM,Perusahaan ANTM,5,Liabilitas jangka panjang atas utang bank,2957733.0,2920244.0,0.0
NELY,Perusahaan NELY,1,Bank OCBC Nisp Tbk,IDR,157695000001.0,167143750000.0
NELY,Perusahaan NELY,2,Bank lokal lainnya,IDR,41507062481.0,45684624983.0
NELY,Perusahaan NELY,3,"Jumlah utang bank, kotor",199202062482.0,212828374983.0,0.0
NELY,Perusahaan NELY,4,"Jumlah utang bank, bersih",199202062482.0,212828374983.0,0.0
NELY,Perusahaan NELY,5,Liabilitas jangka panjang yang jatuh tempo dalam satu tahun atas utang bank,54505250004.0,54505250004.0,0.0
NELY,Perusahaan NELY,6,Liabilitas jangka panjang atas utang bank,144696812478.0,158323124979.0,0.0
KJEN,Perusahaan KJEN,1,Liabilitas jangka panjang yang jatuh tempo dalam satu tahun atas utang bank,2074700000.0,2099600000.0,0.0
KJEN,Perusahaan KJEN,2,Liabilitas jangka panjang atas utang bank,175500000.0,175500000.0,0.0
MIKA,Perusahaan MIKA,1,Bank OCBC Nisp Tbk,IDR,8467540490.0,8594800977.0
MIKA,Perusahaan MIKA,2,"Jumlah utang bank, kotor",8467540490.0,8594800977.0,0.0
MIKA,Perusahaan MIKA,3,"Jumlah utang bank, bersih",8467540490.0,8594800977.0,0.0
MIKA,Perusahaan MIKA,4,Liabilitas jangka panjang yang jatuh tempo dalam satu tahun atas utang bank,528575474.0,516088618.0,0.0
MIKA,Perusahaan MIKA,5,Liabilitas jangka panjang atas utang bank,7938965016.0,8078712359.0,0.0
SAPX,Perusahaan SAPX,1,"Jumlah utang bank, kotor",67319360397.0,71219360397.0,0.0
SAPX,Perusahaan SAPX,2,"Jumlah utang bank, bersih",67319360397.0,71219360397.0,0.0
SAPX,Perusahaan SAPX,3,Liabilitas jangka panjang yang jatuh tempo dalam satu tahun atas utang bank,17000000000.0,17000000000.0,0.0
SAPX,Perusahaan SAPX,4,Liabilitas jangka panjang atas utang bank,50319360397.0,54219360397.0,0.0
MYOR,Perusahaan MYOR,1,"Jumlah utang bank, kotor",1163002082467.0,2683952298285.0,0.0
MYOR,Perusahaan MYOR,2,Biaya penerbitan utang bank yang belum diamortisasi,7833028581.0,8449664295.0,0.0
MYOR,Perusahaan MYOR,3,"Jumlah utang bank, bersih",1155169053886.0,2675502633990.0,0.0
MYOR,Perusahaan MYOR,4,Liabilitas jangka panjang yang jatuh tempo dalam satu tahun atas utang bank,35432872800.0,1005503694218.0,0.0
MYOR,Perusahaan MYOR,5,Liabilitas jangka panjang atas utang bank,1119736181086.0,1669998939772.0,0.0
CGAS,Perusahaan CGAS,1,"Jumlah utang bank, kotor",5235416894.0,7613251067.0,0.0
