All Subindustries in Companies with Mapping Status:
Subindustri                                        | Count | Sektor IDX                | sektor_pdb                          | subsektor_pdb
------------------------------------------------------------------------------------------------------------------------------------------------------
Pengembang & Operator Real Estat                   | 91    | Properti & Real Estat     | Real Estate                         | Real Estate
Bank                                               | 48    | Keuangan                  | Jasa Keuangan dan Asuransi          | Jasa Penunjang Keuangan
Perkebunan & Tanaman Pangan                        | 36    | Barang Konsumen Primer    | Pertanian, Kehutanan, dan Perikanan | Pertanian, Peternakan, Perburuan dan Jasa Pertanian
Hotel, Resor & Kapal Pesiar                        | 31    | Barang Konsumen Non-Primer | Penyediaan Akomodasi dan Makan Minum | Penyediaan Akomodasi
Konstruksi Bangunan                                | 29    | Infrastruktur             | Konstruksi                          | Konstruksi
Makanan Olahan                                     | 29    | Barang Konsumen Primer    | Industri Pengolahan                 | Industri Makanan dan Minuman
Logistik & Pengantaran                             | 28    | Transportasi & Logistik   | Transportasi dan Pergudangan        | Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir
Produksi Batu Bara                                 | 26    | Energi                    | Pertambangan dan Penggalian         | Pertambangan Batubara dan Lignit
Ikan, Daging & Produk Unggas                       | 21    | Barang Konsumen Primer    | Pertanian, Kehutanan, dan Perikanan | Perikanan
Wadah & Kemasan                                    | 21    | Barang Baku               | Industri Pengolahan                 | Industri Karet, Barang dari Karet dan Plastik
Distribusi Batu Bara                               | 21    | Energi                    | Industri Pengolahan                 | Industri Batubara dan Pengilangan Migas
Jasa & Perlengkapan Minyak, Gas & Batu Bara        | 21    | Energi                    | Industri Pengolahan                 | Industri Batubara dan Pengilangan Migas
Barang Kimia Dasar                                 | 20    | Barang Baku               | Industri Pengolahan                 | Industri Kimia, Farmasi dan Obat Tradisional
Aplikasi & Jasa Internet                           | 19    | Teknologi                 | Industri Pengolahan                 | Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik
Logam & Mineral Lainnya                            | 17    | Barang Baku               | Pertambangan dan Penggalian         | Pertambangan Bijih Logam
Tekstil                                            | 15    | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Tekstil dan Pakaian Jadi
Penyedia Jasa Kesehatan                            | 15    | Kesehatan                 | nan                                 | nan
Farmasi                                            | 15    | Kesehatan                 | Industri Pengolahan                 | Industri Kimia, Farmasi dan Obat Tradisional
Asuransi Umum                                      | 14    | Keuangan                  | Jasa Keuangan dan Asuransi          | Asuransi dan Dana Pensiun
Pembiayaan Konsumen                                | 14    | Keuangan                  | Jasa Keuangan dan Asuransi          | Jasa Keuangan Lainnya
Penyimpanan & Distribusi Minyak & Gas              | 14    | Energi                    | Industri Pengolahan                 | Industri Batubara dan Pengilangan Migas
Produk & Perlengkapan Bangunan                     | 14    | Perindustrian             | Konstruksi                          | Konstruksi
Perusahaan Holding Keuangan                        | 14    | Keuangan                  | Jasa Keuangan dan Asuransi          | Jasa Perantara Keuangan
Jasa Telekomunikasi Nirkabel                       | 14    | Infrastruktur             | Industri Pengolahan                 | Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik
Suku Cadang Otomotif                               | 12    | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Alat Angkutan
Material Konstruksi                                | 12    | Barang Baku               | Konstruksi                          | Konstruksi
Jasa & Konsultan TI                                | 11    | Teknologi                 | Informasi dan Komunikasi            | Informasi dan Komunikasi
Rumah Makan                                        | 11    | Barang Konsumen Non-Primer | Penyediaan Akomodasi dan Makan Minum | Penyediaan Makan Minum
Produk Perawatan Tubuh                             | 11    | Barang Konsumen Primer    | Industri Pengolahan                 | Industri Kimia, Farmasi dan Obat Tradisional
Mesin Konstruksi & Kendaraan Berat                 | 10    | Perindustrian             | Industri Pengolahan                 | Industri Mesin dan Perlengkapan
Utilitas Listrik                                   | 9     | Infrastruktur             | Pengadaan Listrik dan Gas           | Pengadaan Gas dan Produksi Es
Transportasi Jalanan                               | 9     | Transportasi & Logistik   | Transportasi dan Pergudangan        | Angkutan Darat
Baja & Besi                                        | 9     | Barang Baku               | Industri Pengolahan                 | Industri Barang Galian bukan Logam
Produsen Furnitur Rumah                            | 9     | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya
Penyedia & Distribusi Perlengkapan Kesehatan       | 8     | Kesehatan                 | Jasa Kesehatan dan Kegiatan Sosial  | Jasa Kesehatan dan Kegiatan Sosial
Ritel Barang Rumah Tangga                          | 7     | Barang Konsumen Non-Primer | Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor | Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor
Barang Kimia Khusus                                | 7     | Barang Baku               | Industri Pengolahan                 | Industri Kimia, Farmasi dan Obat Tradisional
Mesin & Komponen Perindustrian                     | 7     | Perindustrian             | Industri Pengolahan                 | Industri Mesin dan Perlengkapan
Supermarket                                        | 7     | Barang Konsumen Primer    | Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor | Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor
Komponen & Peralatan Kelistrikan                   | 7     | Perindustrian             | Industri Pengolahan                 | Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik
Jasa Telekomunikasi Kabel                          | 7     | Infrastruktur             | Informasi dan Komunikasi            | Informasi dan Komunikasi
Ritel Elektronik                                   | 7     | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik
Minuman Ringan                                     | 6     | Barang Konsumen Primer    | Industri Pengolahan                 | Industri Makanan dan Minuman
Ritel Otomotif                                     | 6     | Barang Konsumen Non-Primer | Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor | Perdagangan Mobil, Sepeda Motor dan Reparasinya
Peralatan Kantor                                   | 6     | Perindustrian             | Industri Pengolahan                 | Industri Mesin dan Perlengkapan
Perusahaan Investasi                               | 6     | Keuangan                  | Jasa Keuangan dan Asuransi          | Jasa Perantara Keuangan
